,latitude,longitude,NO2gm,NO2mol,NO2mol_prec,plant_dist,popdens
100676,-23.1269283294678,-47.174388885498,0.0036726071848534,7.98392866272479e-05,2.97199530905345e-05,5743.00657767099,915.7853589029835
100677,-23.1173782348633,-47.1360473632812,0.0053230210323818,0.00011571784853,4.41215852333698e-05,8281.15791717809,107.59645810668306
100678,-23.1078777313232,-47.0978355407715,0.0048368089774157,0.0001051480212481,3.91819630749524e-05,11738.1450686118,52.36196100682828
100679,-23.0984268188477,-47.0597457885742,0.0044681946892524,9.71346671576612e-05,3.60472840839066e-05,12388.591789387,122.76535195993455
100680,-23.0890235900879,-47.0217742919922,0.0065321668807882,0.0001420036278432,4.81136776215862e-05,8364.0727874136,366.53338774191286
100681,-23.0796699523926,-46.9839248657227,0.0065477314929012,0.0001423419889761,5.10665886395145e-05,4408.72266348607,1168.7932648195288
100682,-23.0703620910645,-46.9461936950684,0.0032231033692369,7.00674645486288e-05,3.12025877065025e-05,1381.97595860511,626.3351245199166
100683,-23.0611019134521,-46.9085731506348,0.0030471587233478,6.62425809423439e-05,3.23285894410219e-05,4130.55907992073,174.12525152877154
100684,-23.051887512207,-46.8710670471191,0.0009684502037998,2.10532652999973e-05,1.97589943127241e-05,8036.54161385055,105.88625840962729
100685,-23.0427169799805,-46.8336715698242,0.0011731637277989,2.55035592999775e-05,1.89195925486274e-05,12007.7308757745,1158.5248401912945
100686,-23.0335903167725,-46.7963790893555,0.002551097793912,5.54586476937402e-05,2.69430674961768e-05,15987.0951644938,582.2295965161378
100687,-23.0245094299316,-46.7591934204102,0.0018380416586296,3.99574273615144e-05,2.41367015405558e-05,19962.3513495444,43.45782811543381
100688,-23.0154705047607,-46.722110748291,0.0029648651543539,6.44535903120413e-05,2.76265291176969e-05,21503.6042177984,71.74777209395994
100689,-23.0064735412598,-46.685131072998,0.0016819539087009,3.65642154065426e-05,2.17730848817155e-05,23596.7152776594,57.829748618640906
100692,-22.9797325134277,-46.574764251709,0.0023710382520221,5.15443098265678e-05,2.42028581851628e-05,32012.9523158497,419.75284695389405
100693,-22.9708995819092,-46.538158416748,0.0004441780802153,9.65604522207286e-06,1.54726330947597e-05,35237.0662563527,1128.404023109429
100694,-22.9621067047119,-46.5016441345215,0.0009048915526364,1.96715554920956e-05,1.93780069821514e-05,38580.7729007633,1130.100923798474
100695,-22.9533519744873,-46.4652214050293,0.0005975258991384,1.29896934595308e-05,1.91401049960405e-05,41762.280945275,64.974044283306
100696,-22.9446353912354,-46.4288787841797,0.0013430784420052,2.91973574348958e-05,2.10335238080006e-05,41707.5664209012,38.636031048442796
100697,-22.9359550476074,-46.3926200866699,0.0006812312076363,1.480937407905e-05,2.0418632630026e-05,38007.1322495974,48.255990340790646
100698,-22.9273128509521,-46.3564453125,0.0001161774089268,2.52559584623668e-06,2.11572350963252e-05,34356.6334508002,52.9989215081686
100700,-22.9101371765137,-46.2843284606934,0.0005544625728362,1.20535341920913e-05,1.96779838006478e-05,27267.3858132078,30.176105499787678
100701,-22.9016017913818,-46.2483825683594,0.0004346336099843,9.44855673878919e-06,2.12345530599123e-05,23882.5955287881,82.34798851727719
100702,-22.8931007385254,-46.2125129699707,0.0029148129979148,6.33654999546707e-05,2.91913584078429e-05,20668.506899814,13.545384234530825
100703,-22.8846340179443,-46.1767120361328,0.001393345388351,3.02901171380654e-05,2.3805927412468e-05,17712.2375541018,7.7923669354100795
100704,-22.8762016296387,-46.1409797668457,0.0029003458475926,6.30509966867976e-05,3.13146701955702e-05,15159.3747487903,8.3438803142428
100705,-22.8678016662598,-46.1053161621094,0.0032317434961441,7.02552933944389e-05,3.28842361341231e-05,13238.2630222523,7.846064018349943
